,0
0.016,legend
0.013,reven
0.013,watch
0.013,film
0.010,que
0.117,legend
0.115,dog
0.114,took
0.114,rememb
0.114,premier
0.035,ford
0.033,david
0.033,week
0.033,feat
0.033,dress
0.024,legend
0.013,film
0.012,reven
0.011,watch
0.010,actor
