,0
0.083,get
0.080,like
0.080,role
0.080,everi
0.080,doesnt
0.028,final
0.025,financ
0.025,portrait
0.024,pictur
0.024,riverston
0.007,spotlight
0.006,dan
0.005,he
0.005,actor
0.005,rle
0.001,100
0.001,get
0.001,doesnt
0.001,meryl
0.001,male
