,0
0.020,dan
0.019,oscar
0.012,cett
0.012,semain
0.007,mon
0.028,oscar
0.014,que
0.013,cri
0.013,orihuela
0.010,new
0.102,kate
0.102,winslet
0.088,now
0.029,oscar
0.014,que
0.015,oscar
0.014,que
0.014,met
0.013,today
0.013,vatican
