,0
0.044,angelina
0.043,joli
0.025,8x10
0.018,mr
0.015,weight
0.024,joli
0.024,angelina
0.020,new
0.015,8x10
0.013,weight
0.045,loui
0.045,dada
0.034,angelina
0.024,ma
0.023,hold
0.016,angelina
0.015,joli
0.012,que
0.011,look
0.007,like
