,0
0.020,batman
0.019,actor
0.018,42
0.017,su
0.017,ao
0.034,hoy
0.026,fan
0.026,birthday
0.026,felicitar
0.026,batis
0.023,knight
0.013,batman
0.012,dark
0.012,big
0.011,short
0.042,birthday
0.042,happi
0.032,42
0.025,actor
0.021,cumpl
